##Areaname	Larceny	Murder	MVTheft	Robbery	MinorsNHI	EstimatedPop
##UNITED STATES	6384687	16107	1196608	405471	10.8	295753151
##ALABAMA	97640	308	10796	5636	7.8	4545049
Chesterfield, SC	878	3	86	23	8.1	42713
Clarendon, SC	739	3	117	37	8.2	32747
Colleton, SC	1133	6	167	41	9.2	38990
Darlington, SC	2513	4	298	95	7.9	66889
Dillon, SC	985	5	149	59	7.1	30711
Dorchester, SC	2723	4	341	97	11.7	111753
Edgefield, SC	348	0	44	5	10.6	25409
Fairfield, SC	482	3	53	16	12.9	23677
Florence, SC	5348	12	531	352	7.8	129809
Georgetown, SC	1377	1	155	48	10.1	59525
Greenville, SC	11237	32	1616	623	11	407533
Greenwood, SC	2666	2	186	61	9.1	67756
Hampton, SC	349	4	41	14	9.5	20982
Horry, SC	10748	29	1438	413	13.3	228708
Jasper, SC	843	2	86	42	14.2	21308
Kershaw, SC	1165	3	150	45	9.8	55834
Lancaster, SC	1732	2	123	59	9.9	69763
Laurens, SC	1840	3	231	44	9.6	69392
Lee, SC	455	2	57	15	8.4	20286
Lexington, SC	5096	9	634	208	9.8	233406
McCormick, SC	91	0	40	4	12.6	9999
Marion, SC	1331	1	112	29	7.4	34466
Marlboro, SC	897	5	97	37	5.9	27578
Newberry, SC	969	0	39	9	12.9	37114
Oconee, SC	1441	1	161	24	11	69292
Orangeburg, SC	3107	13	681	133	7.7	90764
Pickens, SC	2766	2	309	25	11.2	113729
Richland, SC	12429	34	1676	698	8.6	345398
Saluda, SC	234	0	13	6	14.3	18801
Spartanburg, SC	8283	28	938	308	9.6	265919
Sumter, SC	2881	8	332	171	7.9	104885
Union, SC	692	1	57	20	7.6	28235
Williamsburg, SC	710	4	162	36	7.3	34741
York, SC	4937	8	506	179	12.9	189505
##SOUTH DAKOTA	9522	18	840	157	8	780084
Aurora, SD	6	0	0	0	18.5	2886
Beadle, SD	7	0	0	0	7.4	15754
Bennett, SD	0	0	0	0	8	3499
Bon Homme, SD	0	0	0	0	14.2	6960
Brookings, SD	127	0	5	0	7.1	28559
Brown, SD	338	0	18	1	5.6	34869
Brule, SD	0	0	0	0	11.6	5111
Buffalo, SD	0	0	0	0	4.3	2069
Butte, SD	17	0	3	0	10.7	9192
Campbell, SD	2	0	0	0	16.8	1520
Charles Mix, SD	48	0	3	1	11.5	9081
Clark, SD	2	0	0	0	14.3	3671
Clay, SD	149	1	8	0	7.2	13278
Codington, SD	20	0	2	0	7.4	25836
Corson, SD	15	0	2	0	9.4	4252
Custer, SD	1	0	0	0	14	7713
Davison, SD	312	0	15	1	5.9	18826
Day, SD	0	0	0	0	12.2	5796
Deuel, SD	12	0	2	0	12.4	4282
Dewey, SD	11	0	1	0	7.5	6109
Douglas, SD	0	0	0	0	12.6	3212
Edmunds, SD	3	0	0	0	20.5	4074
Fall River, SD	11	0	3	0	8.4	7313
Faulk, SD	5	0	1	0	18.8	2325
Grant, SD	0	0	0	0	8.4	7288
Gregory, SD	0	0	0	0	15.2	4217
Haakon, SD	0	0	0	0	17.4	1917
Hamlin, SD	17	0	0	0	14.3	5560
Hand, SD	7	0	0	0	14.6	3301
Hanson, SD	5	0	2	0	19.6	3646
Harding, SD	0	0	0	0	15.3	1180
Hughes, SD	341	4	17	2	6.6	16780
Hutchinson, SD	10	0	1	0	15.7	7492
Hyde, SD	1	0	0	0	13.3	1579
Jackson, SD	0	0	1	0	9.6	2788
Jerauld, SD	0	0	0	0	17	2075
Jones, SD	0	0	0	0	20.4	1055
Kingsbury, SD	21	0	3	0	10.9	5430
Lake, SD	93	0	5	0	6	11028
Lawrence, SD	244	1	18	2	8.1	22698
Lincoln, SD	446	2	54	10	7.8	33673
Lyman, SD	9	0	3	0	10.1	3839
McCook, SD	40	1	1	0	12.6	5809
McPherson, SD	0	0	0	0	22	2612
Marshall, SD	23	0	2	0	15.4	4373
Meade, SD	261	1	25	3	9.9	24487
Mellette, SD	0	0	0	0	8.3	2027
Miner, SD	7	0	0	0	13.2	2532
Minnehaha, SD	3904	5	459	94	5	167375
Moody, SD	1	0	0	0	9.9	6495
Pennington, SD	2462	2	141	39	7.4	93488
Perkins, SD	7	0	0	0	22.4	2964
Potter, SD	8	0	1	0	16.7	2316
Roberts, SD	11	1	5	0	10.9	9900
Sanborn, SD	6	0	0	0	17.2	2503
Shannon, SD	0	0	0	0	7.4	13352
Spink, SD	27	0	1	1	9	6831
Stanley, SD	12	0	1	0	9.4	2758
Sully, SD	0	0	0	0	20.4	1391
Todd, SD	6	0	6	0	4.3	9801
Tripp, SD	16	0	5	0	8.7	6015
Turner, SD	12	0	1	1	10.3	8402
Union, SD	13	0	0	0	7.8	13332
Walworth, SD	91	0	11	0	8.5	5426
Yankton, SD	328	0	11	2	7.3	21617
Ziebach, SD	7	0	3	0	6.4	2545
##TENNESSEE	168473	432	25147	10011	8.4	5995748
Anderson, TN	2066	5	299	66	10.1	71747
Bedford, TN	652	3	106	39	12.5	42147
Benton, TN	186	0	36	1	7.4	16265
Bledsoe, TN	35	0	8	0	10.5	12702
Blount, TN	2056	2	257	41	6.8	115174
Bradley, TN	2441	0	256	43	8	92264
Campbell, TN	997	2	105	10	5.1	40412
Cannon, TN	86	0	34	1	11.6	13136
Carroll, TN	329	0	61	8	7.7	28695
Carter, TN	1011	1	84	10	5.5	58666
Cheatham, TN	554	0	99	5	10.2	38037
Chester, TN	295	2	24	8	8	15879
Claiborne, TN	521	4	57	5	5.5	30806
Clay, TN	43	0	10	1	9.9	7973
Cocke, TN	752	1	181	25	4.5	34708
Coffee, TN	1267	0	147	26	8.3	50637
Crockett, TN	181	0	25	7	13	14354
Cumberland, TN	1293	0	217	11	8.6	50859
Davidson, TN	27589	97	3617	2482	8.5	607413
Decatur, TN	121	0	14	3	10.3	11428
DeKalb, TN	397	4	65	1	10.6	18257
Dickson, TN	1036	1	141	19	7.6	45705
Dyer, TN	1229	1	147	23	6	37586
Fayette, TN	447	1	94	12	13.2	33993
Fentress, TN	229	0	28	3	11	17019
Franklin, TN	602	0	82	9	8.7	40529
Gibson, TN	993	1	120	19	9.6	47856
Giles, TN	436	0	52	11	7.3	29054
Grainger, TN	365	0	50	2	10.3	22100
Greene, TN	1909	4	185	36	6.8	64874
Grundy, TN	32	3	55	0	7.6	14330
Hamblen, TN	1789	2	191	50	8.3	60115
Hamilton, TN	12702	24	1389	501	7.4	323740
Hancock, TN	107	0	5	1	6	6694
Hardeman, TN	464	3	85	15	6	27795
Hardin, TN	694	2	78	12	6.9	25811
Hawkins, TN	1058	1	120	5	7	55967
Haywood, TN	560	2	43	23	6.6	19402
Henderson, TN	553	1	78	17	8.2	26137
Henry, TN	767	0	76	13	7.8	31294
Hickman, TN	265	1	39	6	10.3	23365
Houston, TN	96	0	16	0	11.5	7939
Humphreys, TN	170	0	22	3	8.7	17904
Jackson, TN	222	1	21	1	7.6	10979
Jefferson, TN	994	0	184	11	8.7	47889
Johnson, TN	71	1	25	0	6.3	18031
Knox, TN	11200	29	1679	619	6.4	409530
Lake, TN	84	0	8	1	6.4	7511
Lauderdale, TN	603	1	80	15	5.2	26587
Lawrence, TN	907	1	120	11	7.7	40641
Lewis, TN	110	2	17	2	7.1	11333
Lincoln, TN	505	0	53	13	8.9	32121
Loudon, TN	1085	2	90	8	10.6	43228
McMinn, TN	1693	1	167	29	8.1	51092
McNairy, TN	455	0	78	5	7.2	25038
Macon, TN	199	0	36	3	8.1	21236
Madison, TN	3700	6	595	186	7.5	94893
Marion, TN	446	0	100	1	7	27699
Marshall, TN	412	0	28	16	8.9	28093
Maury, TN	1995	5	201	83	8.8	75639
Meigs, TN	156	0	31	1	9	11426
Monroe, TN	1080	0	138	7	8.8	42877
Montgomery, TN	3223	7	298	144	8.2	147789
Moore, TN	36	0	2	1	14.9	5982
Morgan, TN	94	2	28	0	7.3	19275
Obion, TN	804	1	98	12	7.9	31860
Overton, TN	182	2	25	1	6.6	20440
Perry, TN	74	3	9	2	11.4	7587
Pickett, TN	11	1	0	0	9.8	4811
Polk, TN	191	0	28	2	10	15749
Putnam, TN	1289	2	137	20	9	67124
Rhea, TN	668	0	45	6	7.4	29764
Roane, TN	1386	4	170	33	7.5	52556
Robertson, TN	1364	4	121	59	10.1	60019
Rutherford, TN	5261	5	529	148	8.4	219976
Scott, TN	443	1	51	2	5.3	21681
Sequatchie, TN	161	1	50	0	10.2	12710
Sevier, TN	2478	2	304	26	9.4	79607
Shelby, TN	37299	147	8886	4592	9.5	912418
Smith, TN	170	1	22	3	8.2	18466
Stewart, TN	134	0	22	1	11.4	12870
Sullivan, TN	4592	8	415	108	5.8	151974
Sumner, TN	2126	1	232	42	8.1	143782
Tipton, TN	1041	5	159	24	7.5	55202
Trousdale, TN	89	0	8	3	9.9	7433
Unicoi, TN	502	4	14	0	13.8	17558
Union, TN	187	0	28	4	8.2	18637
Van Buren, TN	52	1	12	0	9.3	5369
Warren, TN	760	2	125	13	10	39372
Washington, TN	3621	5	296	81	6.8	112664
Wayne, TN	117	0	44	1	9.8	16696
Weakley, TN	514	0	44	5	8.2	33542
White, TN	506	2	84	5	6.4	24254
Williamson, TN	1831	2	144	24	11.4	152208
Wilson, TN	1975	2	268	64	9.1	99762
##TEXAS	676650	1404	93414	35775	19.2	22801920
Anderson, TX	828	0	74	10	13.2	56031
Andrews, TX	228	1	14	1	19.6	12743
Angelina, TX	1182	3	162	47	15.8	81126
Aransas, TX	1232	1	80	7	22.8	24405
Archer, TX	72	0	7	0	22.6	8962
Armstrong, TX	7	0	3	0	30.9	2124
Atascosa, TX	508	0	45	13	20.6	42458
Austin, TX	386	2	26	5	24.4	25762
Bailey, TX	122	0	9	0	18.5	6534
Bandera, TX	154	0	10	0	29	19483
Bastrop, TX	1170	2	135	30	21.4	68769
Baylor, TX	47	0	5	0	16.9	3854
Bee, TX	484	2	24	3	15.8	32439
Bell, TX	7475	14	432	309	21.4	261709
Bexar, TX	68862	97	6560	2304	18.1	1511506
Blanco, TX	87	0	2	0	31.5	8947
Borden, TX	9	0	0	0	26.7	630
Bosque, TX	102	0	23	2	21.2	17785
Bowie, TX	2610	3	284	78	10.3	89933
Brazoria, TX	4570	8	373	105	17.5	274045
Brazos, TX	5929	9	346	136	16.8	163617
Brewster, TX	108	0	4	0	24.6	9050
Briscoe, TX	5	0	3	0	34	1601
Brooks, TX	123	0	4	8	15.6	7589
Brown, TX	1161	1	63	12	14.1	38197
Burleson, TX	59	0	14	4	19.1	16851
Burnet, TX	522	2	55	4	23.9	40958
Caldwell, TX	735	0	34	6	16.8	36216
Calhoun, TX	395	0	43	3	21.5	20278
Callahan, TX	81	0	7	1	17.2	13208
Cameron, TX	14228	13	958	260	17.2	370735
Camp, TX	168	0	9	7	19.6	12174
Carson, TX	7	0	0	0	23	6376
Cass, TX	430	1	56	14	13.3	29444
Castro, TX	205	0	18	0	22.9	7473
Chambers, TX	507	1	47	13	17.5	28035
Cherokee, TX	822	0	99	25	18.5	47577
Childress, TX	134	0	8	3	17.2	7471
Clay, TX	116	2	10	2	18.7	11363
Cochran, TX	38	0	9	1	25	3252
Coke, TX	0	0	1	0	22.5	3588
Coleman, TX	135	0	20	0	17.8	8536
Collin, TX	14875	16	1714	487	14.7	659840
Collingsworth, TX	0	0	1	1	28.3	2979
Colorado, TX	306	0	34	5	20.7	20415
Comal, TX	2178	0	131	25	19	94677
Comanche, TX	190	0	9	0	21.9	13528
Concho, TX	34	0	0	1	21.6	3703
Cooke, TX	898	3	118	17	20.2	38251
Coryell, TX	964	1	43	26	21.3	73148
Cottle, TX	4	0	1	0	23.1	1671
Crane, TX	58	0	3	0	25.8	3742
Crockett, TX	37	0	2	2	20.9	3859
Crosby, TX	11	2	2	0	20.6	6519
Culberson, TX	0	0	0	0	22.5	2611
Dallam, TX	144	0	7	1	28.9	6066
Dallas, TX	83546	236	18945	7683	23.4	2316657
Dawson, TX	171	1	17	0	20.1	14030
Deaf Smith, TX	399	1	15	2	21.4	18294
Delta, TX	71	0	7	0	21.2	5433
Denton, TX	12043	19	1409	348	16	558026
DeWitt, TX	278	2	11	3	16.8	20162
Dickens, TX	3	0	0	0	28.1	2579
Dimmit, TX	174	0	31	3	15.6	9988
Donley, TX	25	0	1	0	23.9	3862
Duval, TX	185	1	25	4	17.2	12479
Eastland, TX	341	0	28	3	17.2	18320
Ector, TX	3815	6	239	76	14.7	124187
Edwards, TX	14	0	7	0	36.6	1918
Ellis, TX	2822	1	323	50	20.9	131764
El Paso, TX	17096	18	2847	477	16	708683
Erath, TX	634	0	37	15	22.5	34490
Falls, TX	148	1	25	4	17.9	17475
Fannin, TX	481	5	49	5	17.1	32659
Fayette, TX	171	0	13	1	19.1	22366
Fisher, TX	55	0	5	0	27.3	4041
Floyd, TX	56	0	3	0	19.2	6970
Foard, TX	8	0	0	0	25.4	1457
Fort Bend, TX	7497	22	1083	560	20.1	458234
Franklin, TX	74	0	5	0	25	10906
Freestone, TX	124	1	25	5	18.1	18582
Frio, TX	288	3	7	1	15.8	16141
Gaines, TX	121	0	12	2	23.5	14382
Galveston, TX	7495	15	921	326	16	274494
Garza, TX	62	1	4	0	20.5	4789
Gillespie, TX	263	0	10	1	26.8	22664
Glasscock, TX	0	0	0	0	31.4	1265
Goliad, TX	21	0	0	0	21.8	6969
Gonzales, TX	360	0	6	5	20	19559
Gray, TX	699	3	54	4	18.5	21356
Grayson, TX	3081	3	267	51	15.8	115526
Gregg, TX	4650	10	694	144	18.9	114366
Grimes, TX	534	1	30	14	21	25072
Guadalupe, TX	2110	2	139	29	20.1	102313
Hale, TX	1130	0	49	21	18.3	35707
Hall, TX	26	0	5	1	32.3	3600
Hamilton, TX	51	1	5	1	22.9	7992
Hansford, TX	25	0	2	0	29.8	5134
Hardeman, TX	68	0	4	0	17.6	4293
Hardin, TX	564	3	103	6	14.2	50607
Harris, TX	110229	409	26459	13324	22.8	3732321
Harrison, TX	1382	4	124	31	19.1	62476
Hartley, TX	86	0	5	1	26.3	5190
Haskell, TX	61	0	3	0	19.8	5425
Hays, TX	1923	3	216	36	18	126470
Hemphill, TX	33	0	4	0	29.7	3313
Henderson, TX	1381	2	187	29	17	78459
Hidalgo, TX	25833	37	2411	515	15.8	665475
Hill, TX	604	1	56	17	20.5	34647
Hockley, TX	393	1	32	6	19.2	22636
Hood, TX	969	0	84	4	18.2	46862
Hopkins, TX	350	1	45	4	19.1	33103
Houston, TX	300	0	18	4	16.3	22791
Howard, TX	530	1	49	14	15.3	32034
Hudspeth, TX	20	1	5	1	29.2	3218
Hunt, TX	2091	7	276	60	15.8	81433
Hutchinson, TX	740	0	47	6	16.5	21902
Irion, TX	9	0	2	0	28.7	1701
Jack, TX	31	0	4	0	23.5	8819
Jackson, TX	151	3	11	2	18.1	14144
Jasper, TX	789	1	32	22	13.3	34978
Jeff Davis, TX	4	0	1	0	30.5	2198
Jefferson, TX	8983	25	937	484	13.8	246063
Jim Hogg, TX	34	0	3	0	15.9	5035
Jim Wells, TX	1669	3	95	19	15.6	40680
Johnson, TX	3277	3	411	44	16	143765
Jones, TX	272	1	29	11	19	19527
Karnes, TX	129	1	9	0	18.2	15049
Kaufman, TX	1822	3	335	45	17.5	87872
Kendall, TX	347	1	22	3	23.3	28411
Kenedy, TX	0	0	1	0	33.7	433
Kent, TX	11	0	2	0	38	739
Kerr, TX	906	0	38	21	19.4	46169
Kimble, TX	61	0	5	1	21.7	4537
King, TX	0	0	0	0	24.2	295
Kinney, TX	0	0	0	0	22.6	3279
Kleberg, TX	1341	1	41	17	15	30678
Knox, TX	34	0	5	1	24.9	3622
Lamar, TX	2268	2	96	43	12.4	49046
Lamb, TX	177	0	10	1	21.7	14251
Lampasas, TX	274	0	16	1	22	19567
La Salle, TX	54	2	0	0	15	5998
Lavaca, TX	185	1	11	2	18.2	18756
Lee, TX	265	0	15	5	24.7	16210
Leon, TX	99	2	10	1	25.5	16108
Liberty, TX	1220	8	177	21	15.4	74384
Limestone, TX	638	1	52	12	17.5	22399
Lipscomb, TX	8	0	0	0	35.3	2930
Live Oak, TX	54	0	3	0	19.2	11465
Llano, TX	216	4	17	1	25.2	17958
Loving, TX	5	0	1	0	20	54
Lubbock, TX	10253	12	915	323	20.4	256252
Lynn, TX	41	0	2	0	23.8	6035
McCulloch, TX	114	0	3	1	18.5	7892
McLennan, TX	8401	14	914	290	16.4	223819
McMullen, TX	3	0	1	0	37.5	859
Madison, TX	199	0	32	5	21.5	13048
Marion, TX	172	1	29	2	17.5	10751
Martin, TX	26	0	1	0	24.8	4390
Mason, TX	45	0	4	0	41.3	3824
Matagorda, TX	982	3	42	43	16.7	37320
Maverick, TX	1050	0	58	12	18.2	49852
Medina, TX	525	6	24	8	22.3	42366
Menard, TX	6	0	0	0	24	2165
Midland, TX	3126	1	205	56	19	120487
Milam, TX	433	2	28	5	18.7	24833
Mills, TX	18	0	0	0	26.3	5075
Mitchell, TX	142	0	11	1	19.2	9273
Montague, TX	536	0	45	9	18.3	19384
Montgomery, TX	6536	10	808	231	17.6	373445
Moore, TX	413	0	28	0	34.6	19809
Morris, TX	157	0	19	3	15.1	12832
Motley, TX	1	0	0	0	31.8	1294
Nacogdoches, TX	1260	5	69	38	15.4	61064
Navarro, TX	1456	1	129	21	19.5	48159
Newton, TX	91	1	14	1	14.6	14175
Nolan, TX	265	3	24	10	14.8	14599
Nueces, TX	17372	8	981	503	15.3	317218
Ochiltree, TX	86	0	8	0	26.4	9144
Oldham, TX	22	0	2	0	25.2	2089
Orange, TX	1868	2	244	71	9.9	83602
Palo Pinto, TX	676	2	50	9	17.7	27255
Panola, TX	408	1	56	6	16	22867
Parker, TX	1744	4	168	18	16.5	101320
Parmer, TX	55	0	6	2	31.6	9584
Pecos, TX	152	0	7	3	22.3	15735
Polk, TX	633	3	87	8	20.6	45944
Potter, TX	4932	6	629	202	14.6	119559
Presidio, TX	40	0	6	0	25.5	7608
Rains, TX	84	0	19	0	22.5	10738
Randall, TX	3947	5	502	150	16.4	109708
Reagan, TX	14	0	4	0	26.3	2953
Real, TX	16	0	0	0	19.5	2945
Red River, TX	92	0	11	1	14.2	13421
Reeves, TX	187	0	8	2	18.5	11263
Refugio, TX	87	0	4	0	22.3	7517
Roberts, TX	18	0	1	0	23.1	822
Robertson, TX	225	0	16	6	24.6	15977
Rockwall, TX	987	1	114	18	18.6	62302
Runnels, TX	151	0	12	0	18.9	10707
Rusk, TX	1202	5	113	14	19.1	47666
Sabine, TX	126	1	9	1	16.7	10170
San Augustine, TX	64	0	11	1	18.1	8781
San Jacinto, TX	268	1	62	6	18.4	24342
San Patricio, TX	1633	3	121	29	15	68630
San Saba, TX	37	0	9	0	21	5962
Schleicher, TX	2	0	2	0	35.1	2743
Scurry, TX	211	0	14	5	16.7	15790
Shackelford, TX	4	0	1	0	28.6	3117
Shelby, TX	459	3	50	9	21.7	25968
Sherman, TX	8	0	4	0	36.6	2907
Smith, TX	5024	11	411	201	17.4	189910
Somervell, TX	97	2	11	0	23.7	7415
Starr, TX	523	12	169	20	18	59266
Stephens, TX	97	0	7	0	15.9	9363
Sterling, TX	4	0	0	0	30	1251
Stonewall, TX	3	0	0	0	27.6	1351
Sutton, TX	42	0	5	0	24.3	4190
Swisher, TX	174	0	13	2	20.5	7744
Tarrant, TX	57747	99	7602	2547	18.6	1612195
Taylor, TX	3722	6	315	144	14.7	125978
Terrell, TX	5	0	0	0	42.9	962
Terry, TX	168	0	15	5	20.9	12207
Throckmorton, TX	4	0	0	0	31.2	1672
Titus, TX	549	2	66	13	22.8	28009
Tom Green, TX	4202	4	295	40	13.8	104961
Travis, TX	35491	30	2744	1232	17.3	901185
Trinity, TX	137	1	16	6	19.1	14122
Tyler, TX	80	1	13	3	12.9	20218
Upshur, TX	732	3	97	13	15.5	37392
Upton, TX	17	0	0	0	30.7	3011
Uvalde, TX	940	4	29	7	17.3	26586
Val Verde, TX	1039	1	70	13	18.3	47033
Van Zandt, TX	741	4	135	8	21.1	51395
Victoria, TX	3002	4	190	60	14	85053
Walker, TX	1306	0	112	31	15.5	64330
Waller, TX	601	1	84	24	17.7	34505
Ward, TX	103	1	3	0	16.6	10159
Washington, TX	476	2	43	15	19.5	31491
Webb, TX	10219	23	987	253	26.4	220968
Wharton, TX	872	1	90	30	18.8	40923
Wheeler, TX	39	0	4	0	29.6	4669
Wichita, TX	5794	6	595	244	14.4	129475
Wilbarger, TX	494	1	24	5	14.8	13918
Willacy, TX	747	1	19	9	16.5	20316
Williamson, TX	5338	7	327	83	13.9	331669
Wilson, TX	332	1	30	3	22.6	36906
Winkler, TX	70	0	4	0	23.1	6425
Wise, TX	773	2	60	5	18.7	55800
Wood, TX	337	1	24	1	20.9	40523
Yoakum, TX	73	0	1	0	29.9	7288
Young, TX	345	0	12	1	17	17507
Zapata, TX	159	0	22	0	26.2	13181
Zavala, TX	192	0	19	2	15.4	11533
##UTAH	71658	55	8446	1100	11.2	2499637
Beaver, UT	74	0	6	1	18.6	6067
Box Elder, UT	917	0	48	6	12.3	45938
Cache, UT	1582	2	72	7	10	104540
Carbon, UT	436	2	32	1	7.5	19180
Daggett, UT	7	0	0	0	18.2	916
Davis, UT	5109	3	416	48	7.5	269695
Duchesne, UT	294	0	31	0	11.5	15135
Emery, UT	83	0	5	1	11	10331
Garfield, UT	0	0	0	0	15.3	4339
Grand, UT	236	0	17	3	9	9066
Iron, UT	643	0	69	4	10.2	39298
Juab, UT	51	0	1	0	10	8889
Kane, UT	44	0	1	0	14.4	6167
Millard, UT	243	1	22	0	14.6	11891
Morgan, UT	34	0	0	0	22.4	7752
Piute, UT	0	0	0	0	18.3	1362
Rich, UT	40	0	3	1	16.6	2005
Salt Lake, UT	39762	30	5819	778	11.9	960067
San Juan, UT	68	0	7	0	7.1	13887
Sanpete, UT	189	0	12	0	14.4	23717
Sevier, UT	522	0	19	1	9.5	19031
Summit, UT	952	1	61	7	21.4	34686
Tooele, UT	985	2	93	7	12.2	50092
Uintah, UT	459	0	56	6	14.5	26978
Utah, UT	10184	5	722	61	11	454694
Wasatch, UT	76	0	11	0	18.9	18726
Washington, UT	1813	2	297	14	11.7	119119
Wayne, UT	0	0	0	0	17	2402
Weber, UT	6855	7	626	154	10.1	213667
##VERMONT	10228	8	635	72	6.6	618814
Addison, VT	165	0	20	0	6.7	36468
Bennington, VT	497	0	43	4	6.2	36481
Caledonia, VT	312	0	50	3	7.7	30302
Chittenden, VT	3916	4	152	32	5.4	149983
Essex, VT	0	0	0	0	7.3	6483
Franklin, VT	885	1	89	4	6.1	47487
Grand Isle, VT	38	0	0	0	18.7	7576
Lamoille, VT	289	0	18	0	8.3	24459
Orange, VT	178	0	15	2	7.8	28938
Orleans, VT	299	0	27	0	9.8	27217
Rutland, VT	1295	1	75	11	6.1	63508
Washington, VT	1032	0	35	7	6.1	58952
Windham, VT	711	2	63	4	6.8	43663
Windsor, VT	611	0	48	5	6.1	57297
##VIRGINIA	152115	464	16020	7444	8.5	7563887
Accomack, VA	450	2	60	19	12.3	38716
Albemarle, VA	1654	2	117	26	10.8	90376
Alleghany, VA	110	0	8	0	7.3	16506
Amelia, VA	64	1	71	0	10.2	12095
Amherst, VA	304	1	25	8	7.9	31871
Appomattox, VA	79	1	15	2	10.1	13810
Arlington, VA	3947	5	526	163	11.5	199761
Augusta, VA	505	6	41	12	8.8	68955
Bath, VA	4	0	0	0	12.2	4784
Bedford, VA	563	1	37	5	10.6	64104
Bland, VA	53	0	6	0	10.9	6794
Botetourt, VA	377	2	29	2	9.6	31501
Brunswick, VA	134	2	21	2	7.6	17963
Buchanan, VA	305	1	50	6	7.7	24452
Buckingham, VA	112	1	19	3	9.6	15815
Campbell, VA	681	0	73	11	7.9	51920
Caroline, VA	286	1	12	4	10	25267
Carroll, VA	318	1	62	6	9.3	29103
Charles City, VA	5	1	0	1	11.3	7039
Charlotte, VA	29	0	14	1	10.3	12309
Chesterfield, VA	5925	8	533	242	7.2	286254
Clarke, VA	225	0	10	2	9.8	14016
Craig, VA	7	1	4	0	10.2	5068
Culpeper, VA	613	1	28	17	10.4	41956
Cumberland, VA	48	2	11	0	9.3	9317
Dickenson, VA	214	8	5	1	7.9	16175
Dinwiddie, VA	380	5	31	16	8	25181
Essex, VA	236	2	19	5	8.3	10476
Fairfax, VA	13429	13	1258	288	9.1	1002375
Fauquier, VA	720	1	41	11	10.5	64287
Floyd, VA	129	0	12	0	13	14493
Fluvanna, VA	162	0	14	1	11.6	24456
Franklin, VA	676	0	56	8	9.6	49745
Frederick, VA	894	0	114	8	8.3	68503
Giles, VA	240	1	23	7	7.8	16983
Gloucester, VA	364	0	22	1	12.9	37295
Goochland, VA	117	3	21	1	12.3	19211
Grayson, VA	89	3	20	1	10	16207
Greene, VA	119	1	11	0	12.7	17176
Greensville, VA	229	1	12	4	6.6	11844
Halifax, VA	481	0	34	14	6.8	35648
Hanover, VA	1203	4	58	30	6.8	96473
Henrico, VA	7628	14	631	287	8.6	281406
Henry, VA	889	6	86	27	8.7	55840
Highland, VA	1	0	0	0	14.6	2440
Isle of Wight, VA	763	1	68	14	8.1	32892
James City, VA	563	1	51	10	8.5	57240
King and Queen, VA	32	1	2	0	9.4	6724
King George, VA	403	0	28	2	10.9	20560
King William, VA	72	0	8	1	9.4	14487
Lancaster, VA	86	1	5	1	12	11459
Lee, VA	206	2	18	6	7.1	24871
Loudoun, VA	3249	5	256	69	7.4	253332
Louisa, VA	391	1	15	3	11.9	29844
Lunenburg, VA	56	0	11	2	10	12958
Madison, VA	84	0	7	0	15.7	13291
Mathews, VA	76	0	6	1	12	8982
Mecklenburg, VA	542	3	53	14	8	31960
Middlesex, VA	102	0	12	0	14.6	10453
Montgomery, VA	1605	1	101	23	8.9	87020
Nelson, VA	207	1	11	1	13.8	14988
New Kent, VA	163	0	18	1	12.8	15939
Northampton, VA	187	1	6	14	11.1	13313
Northumberland, VA	113	2	7	0	13.8	12800
Nottoway, VA	238	2	22	7	7.6	15747
Orange, VA	314	3	17	3	8.9	30026
Page, VA	343	1	22	1	9.4	23710
Patrick, VA	207	1	39	1	9.7	18825
Pittsylvania, VA	284	3	58	13	8.5	60971
Powhatan, VA	150	0	25	1	13.8	26258
Prince Edward, VA	146	2	4	7	7.4	20783
Prince George, VA	291	1	34	9	12.6	36357
Prince William, VA	5960	13	672	262	9.2	345852
Pulaski, VA	905	0	35	16	6.4	34684
Rappahannock, VA	29	0	5	0	15.7	7262
Richmond, VA	53	0	5	0	9.1	9015
Roanoke, VA	1045	1	87	15	7	88483
Rockbridge, VA	271	0	8	2	10	21159
Rockingham, VA	284	0	21	2	12.5	71719
Russell, VA	364	0	47	8	6.9	28596
Scott, VA	336	1	45	5	6.3	22792
Shenandoah, VA	372	0	27	0	10.8	38956
Smyth, VA	590	7	36	0	6.5	32179
Southampton, VA	237	0	29	4	8.2	17616
Spotsylvania, VA	1832	1	89	20	8.2	114909
Stafford, VA	1417	2	134	20	7.9	116672
Surry, VA	34	0	1	1	10.1	6879
Sussex, VA	151	0	29	3	8.2	11829
Tazewell, VA	818	1	68	12	6.3	43831
Warren, VA	539	0	64	8	8.1	34977
Washington, VA	1112	1	72	9	7.4	51920
Westmoreland, VA	188	2	23	5	10.9	16914
Wise, VA	608	3	62	4	6	41690
Wythe, VA	447	1	36	5	7.5	28113
York, VA	1010	1	51	32	11.3	61042
Alexandria, VA	2607	3	483	199	12.2	137602
Bedford, VA	147	1	3	8	4.5	6254
Bristol, VA	644	2	41	16	6.3	17425
Buena Vista, VA	49	1	2	0	5	6352
Charlottesville, VA	1768	2	172	73	7.5	40827
Chesapeake, VA	5907	14	539	298	7.8	216570
Clifton Forge, VA	0	0	0	0	0	0
Colonial Heights, VA	686	1	43	11	6.5	17515
